#identity	tANI	query_length
0.9782106545776259	0.09534572332328485	2448764
0.873532855093257	0.3268140078555281	2532067
0.8849107673627974	0.248997202392399	2335555
0.8840497742555237	0.23629572062096035	2331778
0.9763425370531853	0.12648314536251584	2550350
0.900215572697521	0.2516451093457834	2480185
0.9804225800711767	0.12084536745696164	2523206
0.982093054954566	0.10042829789092166	2509550
0.976879341692794	0.11073954670054595	2462539
0.9769788719101145	0.09753554332347084	2426866
0.9776979918772595	0.09725651274935453	2417892
0.9989744877644153	0.014276218476873319	2487240
0.9997828271812098	0.007935758481414557	2438596
0.9782629986847905	0.1246776741721655	2561832
0.8732637702573897	0.31552441468523806	2493258
0.8998479593721163	0.19742016561839926	2352590
0.8660420646406172	0.3308892378625032	2501310
0.884551545147272	0.26416304123862794	2337782
1.0	1.6284112161249623e-06	2456384
0.9747825968309904	0.1000017623282019	2452524
0.8884254209245752	0.2904913387851886	2453172
0.8651592559960843	0.3167366347207966	2424563
0.8723458778625951	0.30410201254155905	2454304
0.8865577617675302	0.2808917080941908	2456581
0.9995957573112189	0.03805643459230797	2402165
0.9033387686567176	0.24032564351481558	2467899
0.8709614771048744	0.3143613996791089	2421404
0.885590183356839	0.24757101670315784	2377327
0.8879962822384423	0.2610078733362888	2372261
0.9019406252916473	0.2514397484391234	2492336
0.9009632255039857	0.23994403272228998	2448764
0.8756295811518339	0.31894645371627817	2532067
0.8867090913484782	0.24186336094520006	2335555
0.886085688995215	0.23056126256478182	2331778
0.9008025023126729	0.26884038322457876	2550350
1.0	0.00045168120947375903	2480185
0.9035772386679026	0.24707173882723338	2523206
0.9019086942226399	0.26336191574208556	2509550
0.9010105042816378	0.25473716445245426	2462539
0.9025043928738858	0.2246466543631477	2426866
0.900822110004742	0.23306224361707675	2417892
0.9007345882352945	0.2523466081343551	2487240
0.900874881628788	0.24071337955504016	2438596
0.9021255721393066	0.24171048790895527	2561832
0.8721145584045568	0.3122043327326687	2493258
0.9899566216804556	0.037727967187702195	2352590
0.8669380200381692	0.3190631622781963	2501310
0.8871110465674523	0.25944813980388465	2337782
0.8998390078449466	0.24010561259523522	2456384
0.8996433816651074	0.2423304225732161	2452524
0.8900558325219086	0.28970918247189886	2453172
0.9331749229287103	0.21928371723752588	2424563
0.974978824833706	0.11264905116930357	2454304
0.8933327042522706	0.27037586845238326	2456581
0.8734450733855189	0.2946351152019242	2402165
0.8741496287367401	0.30663778395229535	2467899
0.9728525559105486	0.12364658435171304	2421404
0.8949079645593873	0.2462715004095884	2377327
0.8894941973490428	0.26713558229647794	2372261
0.8733466345690901	0.3196217287083332	2492336
0.8729471463296066	0.31122432408418077	2448764
1.0	1.7772199501648598e-05	2532067
0.8906283728813554	0.24006419846919375	2335555
0.8937781465308094	0.23772438904008023	2331778
0.8738477681992332	0.3401561194466344	2550350
0.8753254769814888	0.29594325738579236	2480185
0.8745198895293	0.322566114454448	2523206
0.8732954873294364	0.3344980498314077	2509550
0.8725517732558126	0.31343963646031664	2462539
0.8744813096397277	0.2973275791734013	2426866
0.873885357492656	0.2982738811063451	2417892
0.8737784404990405	0.30602362276678224	2487240
0.8735669200968512	0.29617653305878516	2438596
0.8740648301886801	0.31921687057070874	2561832
0.9751119973486585	0.12400734978835878	2493258
0.8732040153698377	0.2689509589257591	2352590
0.9318360980297952	0.24834971649655274	2501310
0.8930389570552152	0.23112201060757037	2337782
0.8732691848341231	0.2989064405868078	2456384
0.872751488326848	0.31509700771567817	2452524
0.8869937716763014	0.2825706328540279	2453172
0.8666276711668284	0.3008210892836817	2424563
0.8719521918465231	0.30954676655296137	2454304
0.8852347717443532	0.2842948249111044	2456581
0.9006587706855766	0.22672073252737682	2402165
0.9754669366515883	0.13356074729188994	2467899
0.8715242348927873	0.3049695576337383	2421404
0.8874528129462166	0.2494976446918341	2377327
0.8872688042430085	0.25009061295336704	2372261
