#identity	query_cov	query_length
0.982704673188086	0.9044311086768183	2523206
0.982445290846881	0.9298687015600406	2509550
0.9770012904656336	0.9234822270835101	2462539
0.9784801785714315	0.9341941417449501	2426866
0.9793914222419174	0.9449454318058871	2417892
0.9768973187772946	0.934976520158891	2487240
0.9779540989399309	0.9392543906411722	2438596
0.9779132563208408	0.9071410615528263	2561832
0.8728209108249901	0.8336790657043917	2493258
0.9016228175519634	0.9124301301969319	2352590
0.8662973560460665	0.8334920501657131	2501310
0.884138938814532	0.8775035482350365	2337782
0.9761538754325287	0.9365327245251557	2456384
0.9745506200527759	0.9277442341033156	2452524
0.8900238736532835	0.8354522226733389	2453172
0.9336999186602905	0.8651088876634676	2424563
0.978902102721691	0.926221038632541	2454304
0.8943752544837617	0.8445119456675761	2456581
0.8700778109696389	0.850483209937702	2402165
0.8720733810888255	0.8432152207201348	2467899
0.9851162119895813	0.9560345981091961	2421404
0.8948015480171996	0.8739765291018021	2377327
0.8899446324617664	0.8561005724075049	2372261
0.8718530487216591	0.8302315578637872	2492336
0.8717242208109447	0.8354737328709504	2448764
0.9747982413179054	0.8916632142830344	2532067
0.8919048911465883	0.8861889358203938	2335555
0.8950240222114925	0.8866547329977382	2331778
0.8714024578313255	0.8133722822357715	2550350
0.870153014218009	0.8495301761763739	2480185
0.8734305671077507	0.8418638826952695	2523206
0.8715200781250004	0.8181076288577633	2509550
0.8712858232151522	0.8367786256380102	2462539
0.8721630014641306	0.8474703588908493	2426866
0.8727418805093059	0.84833483050525	2417892
0.8726968299711833	0.8414467441823065	2487240
0.8723359073359074	0.8537027043429908	2438596
0.8730221773815099	0.8354954579379131	2561832
1.0	0.9999955881019934	2493258
0.8701246936806547	0.8699879707046276	2352590
0.9328072933396341	0.8508065773534668	2501310
0.894992805788981	0.8973287500716491	2337782
0.87255968779565	0.849789772283161	2456384
0.8710389520078358	0.8300444766289748	2452524
0.8806227872127884	0.8179940093886608	2453172
0.99940136265632	0.9676927347319909	2424563
0.9354441982922207	0.8566840130643962	2454304
0.8814784021369619	0.8376393857967639	2456581
0.8663012859230382	0.8549371088164218	2402165
0.8664790532825877	0.847665159716828	2467899
0.9330097780993729	0.8577783798160076	2421404
0.8802314870794727	0.8576994246058703	2377327
0.8801805732484087	0.861846567472972	2372261
0.8658755112818037	0.8336059022539497	2492336
0.8661636381228823	0.8445824097381373	2448764
0.932855333653388	0.8271388553304474	2532067
0.881614907226563	0.8775721402407565	2335555
0.8802993568973987	0.8745395144820819	2331778
0.866280377088306	0.8203975924873057	2550350
